constituency_no,constituency_name,constituency_slug,district,candidate_count_2026,party_count_2026,independent_count_2026,top_parties_2026,winner_2021,winner_party_2021,runner_up_2021,runner_up_party_2021,margin_2021,turnout_2021,voters_total_2026,voters_male_2026,voters_female_2026,voters_third_gender_2026,current_mla,current_mla_party,source_url,source_date
1,Gummidipoondi,gummidipoondi,Tiruvallur,15,8,8,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Govindarajan T.J,DMK,Prakash M,PMK,50938,78.08,,,,,Govindarajan T.J,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
2,Ponneri,ponneri,Tiruvallur,13,10,4,"AIADMK:1, INC:1, NTK:1, TVK:1, BSP:1",Durai. Chandrasekar,INC,Balaraman. P,ADMK,9689,78.2,248917,121221,127662,34,Durai. Chandrasekar,INC,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
3,Tiruttani,tiruttani,Tiruvallur,13,8,6,"AIADMK:1, NTK:1, TVK:1, BSP:1, IND:6",S.Chandran,DMK,G.Hari,ADMK,29253,78.76,260084,128642,131417,25,S.Chandran,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
4,Thiruvallur,thiruvallur,Tiruvallur,14,9,6,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1","Raajendran, V.G.",DMK,"Ramanah, Be Vee",ADMK,22701,77.2,248651,121188,127426,37,"Raajendran, V.G.",DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
5,Poonamallee,poonamallee,Tiruvallur,11,6,6,"DMK:1, NTK:1, TVK:1, BSP:1, IND:6",Krishnaswamy A,DMK,Rajamannar S X,PMK,94110,72.99,363688,176849,186769,70,Krishnaswamy A,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
6,Avadi,avadi,Tiruvallur,20,11,10,"DMK:1, BJP:1, NTK:1, TVK:1, BSP:1",Nasar S M,DMK,Pandiarajan K,ADMK,55275,67.37,428772,209662,219035,75,Nasar S M,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
7,Maduravoyal,maduravoyal,Tiruvallur,21,10,12,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:12",Ganapathy.K,DMK,Benjamin.P,ADMK,31721,60.3,364031,179602,184349,80,Ganapathy.K,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
8,Ambattur,ambattur,Tiruvallur,23,10,14,"DMK:1, NTK:1, TVK:1, BSP:1, IND:14",Joseph Samuel,DMK,V Alexander,ADMK,42146,62.01,330480,162248,168175,57,Joseph Samuel,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
9,Madavaram,madavaram,Tiruvallur,15,8,8,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Sudharsanam. S,DMK,Moorthy. V,ADMK,57071,66.37,420601,205922,214596,83,Sudharsanam. S,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
10,Thiruvottiyur,thiruvottiyur,Tiruvallur,15,9,7,"AIADMK:1, NTK:1, TVK:1, BSP:1, IND:7",K.P.Shankar,DMK,K.Kuppan,ADMK,37661,65.15,240586,117181,123289,116,K.P.Shankar,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
11,Dr.Radhakrishnan Nagar,dr-radhakrishnan-nagar,Chennai,38,10,29,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:29",Ebenezer. J.J. (@)  John Ebenezer.J,DMK,Raajesh.R.S.,ADMK,42479,70.98,,,,,Ebenezer. J.J. (@)  John Ebenezer.J,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
12,Perambur,perambur,Chennai,47,17,31,"DMK:1, NTK:1, TVK:1, BSP:1, IND:31",Shekar. R.D,DMK,Dhanapalan N.R,ADMK,54976,63.0,222792,107995,114726,71,Shekar. R.D,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
13,Kolathur,kolathur,Chennai,35,12,24,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",M.K. Stalin,DMK,Aadirajaram,ADMK,70384,61.04,207251,99607,107607,37,M.K. Stalin,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
14,Villivakkam,villivakkam,Chennai,28,7,22,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:22",A . Vetriazhagan,DMK,J.C.D.Prabhakar,ADMK,37237,55.92,159764,76947,82785,32,A . Vetriazhagan,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
15,Thiru-Vi-Ka-Nagar,thiru-vi-ka-nagar,Chennai,23,8,16,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:16",Sivakumar.P,DMK,Kalyani.P.L,ADMK,55013,60.62,178793,85724,93008,61,Sivakumar.P,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
16,Egmore,egmore,Chennai,18,10,9,"DMK:1, AIADMK:1, NTK:1, TVK:1, IND:9",I.Paranthamen,DMK,B.John Pandian,ADMK,38768,61.13,134879,65677,69149,53,I.Paranthamen,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
17,Royapuram,royapuram,Chennai,28,9,20,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Murthy.R.Idream,DMK,Jayakumar.D,ADMK,27779,62.6,156931,75870,81004,57,Murthy.R.Idream,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
18,Harbour,harbour,Chennai,23,6,18,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Sekarbabu. P.K,DMK,Vinoj. P. Selvam,BJP,27274,57.64,116896,58221,58620,55,Sekarbabu. P.K,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
19,Chepauk-Thiruvallikeni,chepauk-thiruvallikeni,Chennai,26,7,20,"DMK:1, AIADMK:1, NTK:1, TVK:1, BSP:1",Udhayanidhi Stalin,DMK,Kassali A.V.A,PMK,69355,58.33,163866,79412,84396,58,Udhayanidhi Stalin,DMK,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,2026-04-19
