candidate_uid,candidate_name,party_name,party_abbrev,constituency_no,public_constituency_id,constituency_name,district,symbol,gender,source_url,source_document,source_date,serial_no,match_method,match_ambiguous,matched_candidate_2021_id,affidavit_match_method,age,age_source,gender_source,education,education_source,declared_assets,declared_assets_source,assets_movable,assets_immovable,liabilities,liabilities_source,criminal_cases_declared,criminal_cases_flag,criminal_cases_source,affidavit_url,affidavit_reference_url,candidate_reference_url,affidavit_reference_source,affidavit_parse_status,votes_2021,vote_share_2021,winner_2021,winner_party_2021,runner_up_2021,runner_up_party_2021,margin_2021,turnout_2021,total_votes_2021,total_candidates_2021,current_mla,current_mla_party,voters_total_2026,voters_male_2026,voters_female_2026,voters_third_gender_2026,is_swing_seat
tn2026-001-0001,T.J.GOVINDARAJAN,Dravida Munnetra Kazhagam,DMK,1,1,Gummidipoondi,Tiruvallur,Rising sun,Male,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,Form 7A - Gummidipoondi,2026-04-19,1,none,False,,affidavit_exact,65,2026 affidavit mirror,2026 affidavit mirror,,,,,,,,,,,,,https://voterlist.co.in/affidavit-download/5387/0/cc70d331f3/,https://voterlist.co.in/affidavit-download/5387/0/cc70d331f3/,voterlist.co.in mirror of affidavit.eci.gov.in,reference_link_available_pdf_blocked,,,Govindarajan T.J,DMK,Prakash M,PMK,50938,78.08,222069,12,Govindarajan T.J,DMK,,,,,False
tn2026-001-0002,SUDHAKAR.V,All India Anna Dravida Munnetra Kazhagam,AIADMK,1,1,Gummidipoondi,Tiruvallur,Two leaves,Male,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,Form 7A - Gummidipoondi,2026-04-19,2,none,False,,affidavit_exact,40,2026 affidavit mirror,2026 affidavit mirror,,,,,,,,,,,,,https://voterlist.co.in/affidavit-download/5815/0/64fbceb8d6/,https://voterlist.co.in/affidavit-download/5815/0/64fbceb8d6/,voterlist.co.in mirror of affidavit.eci.gov.in,reference_link_available_pdf_blocked,,,Govindarajan T.J,DMK,Prakash M,PMK,50938,78.08,222069,12,Govindarajan T.J,DMK,,,,,False
tn2026-001-0003,M.JAGADEESAN,Bahujan Samaj Party,BSP,1,1,Gummidipoondi,Tiruvallur,Elephant,Male,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,Form 7A - Gummidipoondi,2026-04-19,3,none,False,,affidavit_exact,34,2026 affidavit mirror,2026 affidavit mirror,,,,,,,,,,,,,https://voterlist.co.in/affidavit-download/341/0/9e8cdf8197/,https://voterlist.co.in/affidavit-download/341/0/9e8cdf8197/,voterlist.co.in mirror of affidavit.eci.gov.in,reference_link_available_pdf_blocked,,,Govindarajan T.J,DMK,Prakash M,PMK,50938,78.08,222069,12,Govindarajan T.J,DMK,,,,,False
tn2026-001-0004,R.SRIDAR. B.L.,Naam Tamilar Katchi,NTK,1,1,Gummidipoondi,Tiruvallur,Farmer Carrying Plough,Male,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,Form 7A - Gummidipoondi,2026-04-19,4,none,False,,affidavit_exact,54,2026 affidavit mirror,2026 affidavit mirror,,,,,,,,,,,,,,,,not_available,,,Govindarajan T.J,DMK,Prakash M,PMK,50938,78.08,222069,12,Govindarajan T.J,DMK,,,,,False
tn2026-001-0005,SDK SANKAR,Aanaithinthiya Jananayaka Pathukappu Kazhagam,AJPK,1,1,Gummidipoondi,Tiruvallur,Gas cylinder,Male,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,Form 7A - Gummidipoondi,2026-04-19,5,none,False,,affidavit_exact,46,2026 affidavit mirror,2026 affidavit mirror,,,,,,,,,,,,,https://voterlist.co.in/affidavit-download/6648/0/bd559ad3f3/,https://voterlist.co.in/affidavit-download/6648/0/bd559ad3f3/,voterlist.co.in mirror of affidavit.eci.gov.in,reference_link_available_pdf_blocked,,,Govindarajan T.J,DMK,Prakash M,PMK,50938,78.08,222069,12,Govindarajan T.J,DMK,,,,,False
tn2026-001-0006,K. CHANDRA SEKAR,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,VTVTK,1,1,Gummidipoondi,Tiruvallur,Pestle and mortar,Male,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,Form 7A - Gummidipoondi,2026-04-19,6,none,False,,affidavit_exact,51,2026 affidavit mirror,2026 affidavit mirror,,,,,,,,,,,,,https://voterlist.co.in/affidavit-download/7795/0/88ba7c770f/,https://voterlist.co.in/affidavit-download/7795/0/88ba7c770f/,voterlist.co.in mirror of affidavit.eci.gov.in,reference_link_available_pdf_blocked,,,Govindarajan T.J,DMK,Prakash M,PMK,50938,78.08,222069,12,Govindarajan T.J,DMK,,,,,False
tn2026-001-0007,S.VIJAYAKUMAR,Tamilaga Vettri Kazhagam,TVK,1,1,Gummidipoondi,Tiruvallur,Whistle,Male,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,Form 7A - Gummidipoondi,2026-04-19,7,none,False,,affidavit_exact,56,2026 affidavit mirror,2026 affidavit mirror,,,,,,,,,,,,,https://voterlist.co.in/affidavit-download/5188/0/c41997b1e3/,https://voterlist.co.in/affidavit-download/5188/0/c41997b1e3/,voterlist.co.in mirror of affidavit.eci.gov.in,reference_link_available_pdf_blocked,,,Govindarajan T.J,DMK,Prakash M,PMK,50938,78.08,222069,12,Govindarajan T.J,DMK,,,,,False
tn2026-001-0008,M.KUMARAN,Independent,IND,1,1,Gummidipoondi,Tiruvallur,Diamond,Male,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,Form 7A - Gummidipoondi,2026-04-19,8,none,False,,affidavit_exact,44,2026 affidavit mirror,2026 affidavit mirror,,,,,,,,,,,,,https://voterlist.co.in/affidavit-download/13064/0/1062dcaa24/,https://voterlist.co.in/affidavit-download/13064/0/1062dcaa24/,voterlist.co.in mirror of affidavit.eci.gov.in,reference_link_available_pdf_blocked,,,Govindarajan T.J,DMK,Prakash M,PMK,50938,78.08,222069,12,Govindarajan T.J,DMK,,,,,False
tn2026-001-0009,GOPAL.K,Independent,IND,1,1,Gummidipoondi,Tiruvallur,Letter box,Male,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,Form 7A - Gummidipoondi,2026-04-19,9,none,False,,affidavit_exact,63,2026 affidavit mirror,2026 affidavit mirror,,,,,,,,,,,,,https://voterlist.co.in/affidavit-download/11976/0/0f42a9d661/,https://voterlist.co.in/affidavit-download/11976/0/0f42a9d661/,voterlist.co.in mirror of affidavit.eci.gov.in,reference_link_available_pdf_blocked,,,Govindarajan T.J,DMK,Prakash M,PMK,50938,78.08,222069,12,Govindarajan T.J,DMK,,,,,False
tn2026-001-0010,T.GOVINDAN,Independent,IND,1,1,Gummidipoondi,Tiruvallur,Ship,Male,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,Form 7A - Gummidipoondi,2026-04-19,10,none,False,,affidavit_exact,43,2026 affidavit mirror,2026 affidavit mirror,,,,,,,,,,,,,https://voterlist.co.in/affidavit-download/8666/0/5e61e3efa4/,https://voterlist.co.in/affidavit-download/8666/0/5e61e3efa4/,voterlist.co.in mirror of affidavit.eci.gov.in,reference_link_available_pdf_blocked,,,Govindarajan T.J,DMK,Prakash M,PMK,50938,78.08,222069,12,Govindarajan T.J,DMK,,,,,False
tn2026-001-0011,A.H. SIVA GANESH,Independent,IND,1,1,Gummidipoondi,Tiruvallur,Batsman,Male,https://erolls.tn.gov.in/acwithcandidate_tnla2026/Form7A.aspx,Form 7A - Gummidipoondi,2026-04-19,11,none,False,,affidavit_exact,43,2026 affidavit mirror,2026 affidavit mirror,,,,,,,,,,,,,https://voterlist.co.in/affidavit-download/10835/0/8abf2253cc/,https://voterlist.co.in/affidavit-download/10835/0/8abf2253cc/,voterlist.co.in mirror of affidavit.eci.gov.in,reference_link_available_pdf_blocked,,,Govindarajan T.J,DMK,Prakash M,PMK,50938,78.08,222069,12,Govindarajan T.J,DMK,,,,,False
